City_ID,City,Lat,Lng,Max_temp,Humidity,Clouds,Wind,Country,Date
353,nizwa,22.93,57.53,96.08,31,73,1.86,OM,1593359496
354,thunder bay,48.4,-89.32,75.2,57,20,5.82,CA,1593359244
355,kerouane,9.27,-9.02,81.46,80,54,3.56,GN,1593359496
356,mandalgovi,45.76,106.27,61.79,58,59,19.86,MN,1593359496
357,praia,14.92,-23.51,86.0,55,20,21.92,CV,1593359496
358,labuhan,-6.88,112.21,77.86,83,0,7.45,ID,1593359496
359,aksarka,66.56,67.8,56.57,58,78,8.41,RU,1593359496
360,bongaree,-27.08,153.16,55.99,91,49,13.6,AU,1593359496
361,inhambane,-23.86,35.38,82.4,30,0,10.11,MZ,1593359496
362,chiredzi,-21.05,31.67,69.44,23,0,4.63,ZW,1593359497
363,terra santa,-2.1,-56.49,82.44,86,49,4.61,BR,1593359497
364,inyonga,-6.72,32.07,77.81,36,30,3.98,TZ,1593359497
365,shanting,35.08,117.46,71.06,84,100,10.6,CN,1593359497
366,casablanca,33.59,-7.62,80.6,61,0,17.22,MA,1593359334
367,bauchi,10.5,10.0,88.43,44,97,5.44,NG,1593359497
368,nome,64.5,-165.41,44.6,100,90,6.93,US,1593359497
369,rawson,-43.3,-65.1,41.07,66,100,1.72,AR,1593359497
370,rancho palos verdes,33.74,-118.39,66.0,100,90,6.93,US,1593359497
371,jacksonville,30.33,-81.66,90.0,62,75,8.05,US,1593359310
372,banjar,-8.19,114.97,80.6,100,40,6.93,ID,1593359498
373,prado,-17.34,-39.22,79.7,62,0,6.58,BR,1593359498
374,harrison,30.41,-89.04,87.01,70,40,9.17,US,1593359315
375,garowe,8.41,48.48,89.24,35,43,17.22,SO,1593359498
376,takefu,35.9,136.17,68.0,94,75,4.7,JP,1593359498
377,aklavik,68.22,-135.01,53.6,58,40,4.7,CA,1593359498
378,hokitika,-42.72,170.97,49.84,83,99,6.85,NZ,1593359498
379,grand island,40.92,-98.34,81.0,73,1,12.75,US,1593359498
380,tazovskiy,67.47,78.7,54.86,95,94,8.52,RU,1593359498
381,asmar,35.03,71.36,79.45,38,5,5.68,AF,1593359498
382,lata,40.16,-8.33,84.0,53,0,11.23,PT,1593359498
383,hasaki,35.73,140.83,68.0,100,75,2.24,JP,1593359499
384,muros,42.78,-9.06,66.99,92,89,4.0,ES,1593359499
385,korla,41.76,86.15,80.01,76,66,3.0,CN,1593359499
386,bojonegoro,-7.15,111.88,75.2,86,1,6.15,ID,1593359499
387,horsham,51.06,-0.33,66.99,48,40,18.34,GB,1593359499
388,viransehir,37.24,39.76,96.6,17,57,4.09,TR,1593359499
389,yellowknife,62.46,-114.35,61.0,51,75,10.29,CA,1593359416
390,kemijarvi,66.71,27.43,65.41,34,85,3.62,FI,1593359499
391,miandoab,36.97,46.1,86.0,27,20,4.7,IR,1593359499
392,roald,62.58,6.13,62.6,82,75,9.17,NO,1593359499
393,tahta,26.77,31.5,98.37,11,0,15.9,EG,1593359500
394,namibe,-15.2,12.15,72.66,58,0,9.46,AO,1593359500
395,petrolina de goias,-16.09,-49.34,78.8,47,20,9.17,BR,1593359500
396,porosozero,62.72,32.73,58.51,51,99,4.65,RU,1593359500
397,resistencia,-27.46,-58.98,64.0,63,28,5.82,AR,1593359500
398,adrar,20.5,-10.07,112.48,6,0,13.0,MR,1593359500
399,pop,40.87,71.11,75.2,22,0,6.93,UZ,1593359500
400,meulaboh,4.14,96.13,79.39,84,97,4.03,ID,1593359500
401,sol-iletsk,51.16,54.99,65.75,65,19,8.7,RU,1593359500
402,samarai,-10.62,150.67,78.31,85,82,16.15,PG,1593359501
403,honolulu,21.31,-157.86,75.2,73,40,4.7,US,1593359213
404,jibuti,11.5,42.5,98.6,37,1,4.7,DJ,1593359501
405,skjervoy,70.03,20.97,47.12,83,0,6.11,NO,1593359501
406,christchurch,-43.53,172.63,48.2,100,100,18.34,NZ,1593359358
407,eirunepe,-6.66,-69.87,87.91,56,93,3.83,BR,1593359501
408,port hardy,50.7,-127.42,57.2,76,20,5.82,CA,1593359501
409,chumikan,54.72,135.31,43.43,90,74,1.45,RU,1593359501
410,keetmanshoop,-26.58,18.13,69.8,33,0,1.12,NA,1593359501
411,churapcha,62.0,132.43,64.13,56,18,3.85,RU,1593359501
412,zomin,39.96,68.4,65.19,28,0,7.23,UZ,1593359501
413,kirn,49.78,7.45,68.0,72,20,10.29,DE,1593359502
414,lovozero,68.0,35.01,48.33,69,100,4.34,RU,1593359502
415,mason city,43.15,-93.2,78.01,83,1,11.41,US,1593359412
416,shimoda,34.67,138.95,64.0,94,87,6.76,JP,1593359502
417,whittlesea,-32.18,26.82,44.38,61,0,8.59,ZA,1593359502
418,ishigaki,24.34,124.16,83.95,85,96,19.42,JP,1593359502
419,akdepe,42.06,59.38,82.4,23,100,9.17,TM,1593359502
420,tutoia,-2.76,-42.27,84.2,78,17,6.17,BR,1593359502
421,la cruz,23.92,-106.9,89.01,60,96,3.0,MX,1593359502
422,stillwater,36.12,-97.06,84.2,66,75,19.46,US,1593359502
423,cabinda,-5.55,12.2,78.8,65,20,8.05,AO,1593359503
424,sibu,2.3,111.82,78.8,100,40,1.28,MY,1593359503
425,bossier city,32.52,-93.73,89.01,66,75,12.75,US,1593359503
426,vestmannaeyjar,63.44,-20.27,60.8,82,75,5.82,IS,1593359503
427,grand gaube,-20.01,57.66,73.99,76,12,5.99,MU,1593359503
428,bandar-e lengeh,26.56,54.88,93.2,67,0,6.93,IR,1593359503
429,marystown,47.17,-55.15,64.24,79,100,8.08,CA,1593359503
430,khasan,42.43,130.64,58.26,95,21,3.53,RU,1593359503
431,kemin,42.78,75.69,48.87,77,100,7.16,KG,1593359503
432,kanye,-24.97,25.33,54.41,36,0,7.67,BW,1593359503
433,pasighat,28.07,95.33,76.33,82,64,3.0,IN,1593359504
434,boguchany,58.38,97.45,68.72,64,56,4.56,RU,1593359504
435,wajima,37.4,136.9,67.41,78,89,7.31,JP,1593359504
436,ola,59.58,151.28,45.9,91,7,4.94,RU,1593359504
437,aswan,24.09,32.91,104.2,10,34,10.94,EG,1593359504
438,mattru,7.62,-11.83,79.63,88,82,4.79,SL,1593359504
439,tura,25.52,90.22,75.58,95,49,7.2,IN,1593359504
440,celestun,20.87,-90.4,87.08,61,45,4.74,MX,1593359504
441,datong,40.09,113.29,67.03,64,66,3.98,CN,1593359504
442,portland,45.52,-122.68,59.0,67,75,10.29,US,1593359450
443,qandala,11.47,49.87,92.91,50,36,3.13,SO,1593359504
444,koshurnikovo,54.17,93.3,56.86,90,82,3.36,RU,1593359505
